run start,tweets
MMM,1
ABT,0
ABBV,1
ACN,2
ATVI,0
AYI,0
ADBE,0
AMD,2
AAP,0
AES,0
AET,0
AMG,0
AFL,0
A,0
APD,0
AKAM,0
ALK,0
ALB,1
ARE,0
AGN,0
LNT,0
ALXN,0
ALLE,12
ADS,0
ALL,1
GOOGL,19
GOOG,4
MO,0
AMZN,16
AEE,0
AAL,1
AEP,0
AXP,0
AIG,0
AMT,0
AWK,0
AMP,0
ABC,0
AME,0
AMGN,1
APH,0
APC,0
ADI,3
ANTM,1
AON,5
APA,0
AIV,0
AAPL,22
AMAT,0
ADM,0
ARNC,0
AJG,0
AIZ,0
T,4
ADSK,0
ADP,0
AN,8
AZO,0
AVB,0
AVY,0
BHI,0
BLL,0
BAC,2
BK,0
BCR,0
BAX,2
BBT,2
BDX,1
BBBY,0
BRK.B,0
BBY,0
BIIB,0
BLK,0
HRB,0
BA,0
BWA,7
BXP,0
BSX,0
BMY,0
AVGO,0
BF.B,0
CHRW,4
CA,0
COG,0
CPB,0
COF,1
CAH,0
CBOE,0
KMX,0
CCL,0
CAT,4
CBG,0
CBS,0
CELG,0
CNC,7
CNP,0
CTL,0
CERN,0
CF,0
SCHW,0
CHTR,0
CHK,0
CVX,0
CMG,3
CB,0
CHD,0
CI,0
XEC,0
CINF,0
CTAS,0
CSCO,5
C,2
CFG,0
CTXS,0
CLX,0
CME,0
CMS,2
COH,0
KO,4
CTSH,0
CL,0
CMCSA,6
CMA,0
CAG,0
CXO,0
COP,0
ED,2
STZ,0
COO,0
GLW,1
COST,0
COTY,0
CCI,0
CSRA,0
CSX,3
CMI,1
CVS,4
DHI,0
DHR,0
DRI,0
DVA,3
DE,0
DLPH,0
DAL,0
XRAY,0
DVN,0
DLR,3
DFS,6
DISCA,0
DISCK,0
DISH,0
DG,0
DLTR,2
D,0
DOV,0
DOW,2
DPS,0
DTE,0
DD,8
DUK,0
DXC,0
ETFC,0
EMN,0
ETN,0
EBAY,1
ECL,2
EIX,0
EW,0
EA,0
EMR,0
ETR,2
EVHC,0
EOG,0
EQT,0
EFX,0
EQIX,1
EQR,1
ESS,1
EL,0
ES,0
EXC,0
EXPE,7
EXPD,0
ESRX,1
EXR,0
XOM,5
FFIV,0
FB,32
FAST,0
FRT,4
FDX,0
FIS,0
FITB,0
FE,0
FISV,0
FLIR,0
FLS,0
FLR,4
FMC,1
FL,0
F,2
FTV,0
FBHS,0
BEN,0
FCX,0
GPS,0
GRMN,0
IT,2
GD,0
GE,2
GGP,0
GIS,0
GM,1
GPC,0
GILD,0
GPN,0
GS,4
GT,1
GWW,0
HAL,0
HBI,0
HOG,0
HRS,0
HIG,0
HAS,0
HCA,0
HCP,0
HP,0
HSIC,0
HSY,0
HES,0
HPE,0
HOLX,0
HD,6
HON,0
HRL,0
HST,0
HPQ,0
HUM,0
HBAN,5
IDXX,0
ITW,4
ILMN,9
IR,0
INTC,7
ICE,0
IBM,8
INCY,0
IP,3
IPG,0
IFF,0
INTU,0
ISRG,0
IVZ,0
IRM,0
JEC,0
JBHT,0
SJM,1
JNJ,0
JCI,0
JPM,1
JNPR,2
KSU,1
K,0
KEY,0
KMB,0
KIM,0
KMI,0
KLAC,0
KSS,0
KHC,0
KR,0
LB,0
LLL,7
LH,0
LRCX,0
LEG,0
LEN,0
LVLT,3
LUK,0
LLY,8
LNC,0
LKQ,0
LMT,0
L,0
LOW,6
LYB,0
MTB,0
MAC,0
M,2
MNK,1
MRO,0
MPC,0
MAR,0
MMC,0
MLM,0
MAS,1
MA,1
MAT,0
MKC,0
MCD,3
MCK,0
MJN,0
MDT,0
MRK,0
MET,0
MTD,0
KORS,0
MCHP,0
MU,0
MSFT,23
MAA,0
MHK,0
TAP,0
MDLZ,0
MON,0
MNST,2
MCO,0
MS,2
MOS,0
MSI,1
MUR,0
MYL,0
NDAQ,0
NOV,0
NAVI,0
NTAP,0
NFLX,3
NWL,0
NFX,0
NEM,0
NWSA,0
NWS,0
NEE,0
NLSN,0
NKE,2
NI,0
NBL,1
JWN,0
NSC,0
NTRS,7
NOC,0
NRG,0
NUE,0
NVDA,1
ORLY,0
OXY,0
OMC,0
OKE,0
ORCL,0
PCAR,0
PH,0
PDCO,0
PAYX,0
PYPL,8
PNR,0
PBCT,0
PEP,1
PKI,0
PRGO,0
PFE,1
PCG,0
PM,0
PSX,0
PNW,0
PXD,0
PNC,0
RL,0
PPG,0
PPL,0
PX,0
PCLN,1
PFG,0
PG,0
PGR,0
PLD,0
PRU,0
PEG,0
PSA,0
PHM,0
PVH,0
QRVO,0
PWR,0
QCOM,2
DGX,0
RRC,0
RJF,0
RTN,0
O,2
RHT,9
REG,0
REGN,0
RF,0
RSG,0
RAI,0
RHI,0
ROK,2
COL,0
ROP,0
ROST,0
RCL,1
R,0
CRM,9
SCG,0
SLB,0
SNI,0
STX,5
SEE,0
SRE,0
SHW,0
SIG,0
SPG,0
SWKS,1
SLG,0
SNA,0
SO,0
LUV,0
SPGI,0
SWK,0
SPLS,0
SBUX,3
STT,0
SRCL,0
SYK,6
STI,0
SYMC,3
SYF,1
SNPS,0
SYY,0
TROW,0
TGT,0
TEL,2
FTI,2
TGNA,1
TDC,4
TSO,0
TXN,9
TXT,0
TMO,0
TIF,0
TWX,0
TJX,0
TMK,0
TSS,0
TSCO,2
TDG,0
RIG,0
TRV,0
TRIP,0
FOXA,0
FOX,0
TSN,0
UDR,0
ULTA,0
USB,0
UA,4
UAA,6
UNP,0
UAL,0
UNH,0
UPS,10
URI,0
UTX,0
UHS,0
UNM,0
VFC,3
VLO,0
VAR,0
VTR,0
VRSN,0
VRSK,0
VZ,0
VRTX,3
VIAB,0
V,40
VNO,1
VMC,0
WMT,0
WBA,0
DIS,2
WM,0
WAT,4
WEC,0
WFC,1
