cashtag,tweets
MMM,2
ABT,8
ABBV,3
ACN,2
ATVI,1
AYI,1
ADBE,1
AMD,23
AAP,1
AES,0
AET,3
AMG,2
AFL,1
A,6
APD,1
AKAM,1
ALK,3
ALB,2
ARE,0
AGN,1
LNT,0
ALXN,0
ALLE,0
ADS,2
ALL,3
GOOGL,3
GOOG,26
MO,2
AMZN,79
AEE,0
AAL,3
AEP,1
AXP,3
AIG,6
AMT,1
AWK,0
AMP,1
ABC,1
AME,0
AMGN,2
APH,4
APC,0
ADI,3
ANTM,0
AON,1
APA,5
AIV,0
AAPL,55
AMAT,1
ADM,0
ARNC,1
AJG,2
AIZ,1
T,4
ADSK,4
ADP,0
AN,0
AZO,0
AVB,0
AVY,0
BHI,0
BLL,3
BAC,13
BK,6
BCR,1
BAX,3
BBT,3
BDX,1
BBBY,6
BRK.B,0
BBY,10
BIIB,1
BLK,2
HRB,0
BA,8
BWA,0
BXP,1
BSX,1
BMY,20
AVGO,7
BF.B,0
CHRW,0
CA,9
COG,1
CPB,0
COF,0
CAH,0
CBOE,2
KMX,5
CCL,5
CAT,17
CBG,2
CBS,2
CELG,9
CNC,4
CNP,0
CTL,3
CERN,1
CF,1
SCHW,0
CHTR,1
CHK,2
CVX,11
CMG,4
CB,0
CHD,0
CI,0
XEC,3
CINF,1
CTAS,0
CSCO,8
C,10
CFG,1
CTXS,1
CLX,4
CME,2
CMS,0
COH,0
KO,2
CTSH,0
CL,0
CMCSA,7
CMA,3
CAG,0
CXO,1
COP,0
ED,1
STZ,4
GLW,0
COST,1
COTY,1
CCI,14
CSRA,0
CSX,0
CMI,0
CVS,0
DHI,2
DHR,0
DRI,2
DVA,1
DE,1
DLPH,0
DAL,10
XRAY,0
DVN,0
DLR,0
DFS,2
DISCA,1
DISCK,0
DISH,1
DG,1
DLTR,0
D,1
DOV,2
DOW,0
DPS,1
DTE,0
DD,3
DUK,0
DXC,2
ETFC,0
EMN,0
ETN,0
EBAY,11
ECL,0
EIX,0
EW,0
EA,0
EMR,1
ETR,0
EVHC,0
EOG,0
EQT,0
EFX,0
EQIX,0
EQR,0
ESS,1
EL,0
ES,3
EXC,1
EXPE,4
EXPD,0
ESRX,1
EXR,0
XOM,0
FFIV,1
FB,23
FAST,0
FRT,0
FDX,0
FIS,0
FITB,0
FE,1
FISV,1
